GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2021-10-22,Cavaliers,Hornets,2021,112,0.512,0.85,0.29,26,36,123,0.527,0.824,0.406,32,46,0
2021-10-22,Magic,Knicks,2021,96,0.398,0.867,0.395,24,46,121,0.5,0.529,0.444,34,38,0
2021-10-22,Wizards,Pacers,2021,135,0.521,0.947,0.5,24,38,134,0.536,0.75,0.441,28,42,1
2021-10-22,Celtics,Raptors,2021,83,0.39,0.727,0.324,19,42,115,0.42,1,0.286,22,60,0
2021-10-22,76ers,Nets,2021,109,0.473,0.818,0.389,17,35,114,0.466,0.833,0.316,26,47,0
2021-10-22,Bulls,Pelicans,2021,128,0.528,0.8,0.5,32,46,112,0.483,0.813,0.517,26,42,1
2021-10-22,Rockets,Thunder,2021,124,0.505,0.786,0.447,29,54,91,0.374,0.563,0.326,22,39,1
2021-10-22,Nuggets,Spurs,2021,102,0.512,0.625,0.3,26,41,96,0.476,0.714,0.25,24,39,1
2021-10-22,Lakers,Suns,2021,105,0.395,0.759,0.441,25,46,115,0.488,0.75,0.313,31,47,0
2021-10-22,Kings,Jazz,2021,101,0.394,0.714,0.222,20,52,110,0.411,0.87,0.381,16,51,0
2021-10-21,Hawks,Mavericks,2021,113,0.479,0.889,0.429,31,55,87,0.333,0.923,0.302,16,50,1
2021-10-21,Heat,Bucks,2021,137,0.531,0.645,0.429,28,58,95,0.381,0.655,0.286,19,38,1
2021-10-21,Warriors,Clippers,2021,115,0.518,0.636,0.484,27,53,113,0.438,0.714,0.35,24,39,1
2021-10-20,Hornets,Pacers,2021,123,0.43,0.667,0.419,29,46,122,0.467,0.875,0.362,29,51,1
2021-10-20,Pistons,Bulls,2021,88,0.4,0.769,0.214,17,47,94,0.43,0.867,0.304,18,48,0
2021-10-20,Knicks,Celtics,2021,138,0.486,0.704,0.378,27,55,134,0.41,0.739,0.368,34,56,1
2021-10-20,Raptors,Wizards,2021,83,0.309,0.727,0.206,14,54,98,0.444,0.808,0.185,20,51,0
2021-10-20,Grizzlies,Cavaliers,2021,132,0.53,1,0.424,28,53,121,0.505,0.722,0.368,38,36,1
2021-10-20,Timberwolves,Rockets,2021,124,0.483,0.774,0.421,26,46,106,0.455,0.682,0.333,21,41,1
2021-10-20,Pelicans,76ers,2021,97,0.419,0.667,0.433,28,44,117,0.518,0.8,0.52,24,47,0
2021-10-20,Spurs,Magic,2021,123,0.5,0.667,0.433,32,43,97,0.407,0.783,0.31,17,44,1
2021-10-20,Jazz,Thunder,2021,107,0.44,0.867,0.298,18,53,86,0.374,0.611,0.2,19,50,1
2021-10-20,Suns,Nuggets,2021,98,0.414,0.706,0.378,23,45,110,0.53,0.556,0.436,25,46,0
2021-10-20,Trail Blazers,Kings,2021,121,0.484,0.864,0.343,25,49,124,0.457,0.793,0.415,24,43,0
2021-10-19,Bucks,Nets,2021,127,0.457,0.778,0.378,25,54,104,0.44,0.565,0.531,19,44,1
2021-10-19,Lakers,Warriors,2021,114,0.474,0.474,0.357,21,45,121,0.441,0.833,0.359,30,50,0
2021-10-15,Heat,Celtics,2021,121,0.461,0.931,0.4,19,47,100,0.444,0.8,0.293,20,36,1
2021-10-15,Pistons,76ers,2021,112,0.487,0.829,0.333,24,47,108,0.453,0.75,0.429,20,38,1
2021-10-15,Pacers,Cavaliers,2021,94,0.41,0.632,0.318,26,38,110,0.525,0.565,0.406,24,50,0
2021-10-15,Knicks,Wizards,2021,115,0.412,0.842,0.357,24,48,113,0.494,0.655,0.4,25,47,1
